bag,output_index,record_time_ns,width,height,occupied_cells,raster_sha256,exact_replay_match,matched_attempt_index,hash_multiplicity_in_recorded,startup_or_unrecovered
sense1-1,64,1746434331918093857,534,534,278935,963d8b25f2ec0dd0017a7764e4b50a8c6483ed905515f22fcee52392941277fa,1,60,2,0
sense1-1,65,1746434332339596202,534,534,278935,963d8b25f2ec0dd0017a7764e4b50a8c6483ed905515f22fcee52392941277fa,1,61,2,0
sense1-1,66,1746434332925191388,534,534,277064,b1e88f6e12a7359882916e32fe9b12dee3853bbf576f1fc9f361daae699fcc2c,1,62,2,0
sense1-1,67,1746434333363541929,534,534,277064,b1e88f6e12a7359882916e32fe9b12dee3853bbf576f1fc9f361daae699fcc2c,1,63,2,0
sense1-1,68,1746434333898768286,534,534,276876,800e9e9aacdc9b646e8827be97feea2a52235c3ca25d4b22f5f432b2b4701931,1,64,2,0
sense1-1,69,1746434334335528640,534,534,276876,800e9e9aacdc9b646e8827be97feea2a52235c3ca25d4b22f5f432b2b4701931,1,65,2,0
sense1-1,70,1746434334896002224,534,534,275559,c604c06e9fadb2ec7f24eb539d9a8853f5dd8510447becd2de889b324c252514,1,66,2,0
sense1-1,71,1746434335323127660,534,534,275559,c604c06e9fadb2ec7f24eb539d9a8853f5dd8510447becd2de889b324c252514,1,67,2,0
sense1-1,72,1746434335901222201,534,534,275872,2506df8ad33f506326e2d053edb331a0e033feddad91339f896b4a5b51c34bab,1,68,1,0
sense1-1,73,1746434336345033978,534,534,274938,19104cc257b82409dfbf2be7a883174b7c84839e68361c137afc7c77f4b66d84,1,69,1,0
sense1-1,74,1746434336927365637,534,534,276036,4ef5695254f2844c09b96bc8c17bf9e5c6f381c300a981138d8999cc7725741c,1,70,3,0
sense1-1,75,1746434337371661782,534,534,276036,4ef5695254f2844c09b96bc8c17bf9e5c6f381c300a981138d8999cc7725741c,1,71,3,0
sense1-1,76,1746434337908057815,534,534,276036,4ef5695254f2844c09b96bc8c17bf9e5c6f381c300a981138d8999cc7725741c,1,72,3,0
sense1-1,77,1746434338348243751,534,534,276035,3d75dc1f0bb352de15f1dfb7bbf96bf9fdf60d629948fd50935dfc18d3efbf04,1,73,1,0
sense1-1,78,1746434338905459969,534,534,276959,1df040d4628cbce54a10fb77a5819478105d716d0721033cb8059ea5c7f39367,1,74,2,0
sense1-1,79,1746434339353823881,534,534,276959,1df040d4628cbce54a10fb77a5819478105d716d0721033cb8059ea5c7f39367,1,75,2,0
sense1-1,80,1746434339915853418,534,534,275024,2a06f0ff78d96cfc0cb0b3ec73b5625d54c8640d858e2a95398501f023a301fe,1,76,2,0
sense1-1,81,1746434340361806639,534,534,275024,2a06f0ff78d96cfc0cb0b3ec73b5625d54c8640d858e2a95398501f023a301fe,1,77,2,0
sense1-1,82,1746434340918606606,534,534,274287,a6a84faa068daab32451ceb15ccb9e3d9c9c0518e23b3284d48ca2bc02389f2b,1,78,1,0
sense1-1,83,1746434341356098975,534,534,274284,9071e96efa81f98fff38eca24bbc6df1307ad9b2b97c9dfd7a53785fd7f2a017,1,79,1,0
sense1-1,84,1746434341940411638,534,534,275332,f7e1e0472ed72a5cfc51046f1080c23902c30b4e8973e370911a7a8081fdfe7c,1,80,1,0
sense1-1,85,1746434342410508833,534,534,275331,b46bc1cca7b5146fcfa59af8b76a37d389725408c786a0bcf254a2174273f55b,1,81,1,0
sense1-1,86,1746434342946070825,534,559,283210,5ea2dabda88939b313cad48079966917b451af96fcd2ee363551e1cf747ac487,1,82,1,0
sense1-1,87,1746434343394150666,534,534,274352,1cdbb5bd6c80977207909bacf60ad768004b48d40891a0c2c91ceaa1db49522e,1,83,1,0
sense1-1,88,1746434343918419174,534,534,273707,8ce71204992aa566116d4a1b0a50b442d5292c7470c7cf4ca5c7da74222e7b5e,1,84,1,0
sense1-1,89,1746434344410998557,534,585,295532,492b8550c6372f5df4d1122c579cd3cbaf9b17e4b7798dc0b5da8a6b883f75d9,1,85,1,0
sense1-1,90,1746434344924961931,534,534,272826,a2f3a9b9cd3a44611da85af7f553c0d2413249eab14f53753387cc52d6a5b43d,1,86,2,0
sense1-1,91,1746434345385969549,534,534,272826,a2f3a9b9cd3a44611da85af7f553c0d2413249eab14f53753387cc52d6a5b43d,1,87,2,0
sense1-1,92,1746434345923397368,534,534,274089,d77f2381f8650d850bc77507106ff05b78b0a49e66bb8e55354461061ba179d8,1,88,1,0
