bag,topic,message_type,message_count
sense4-2,/initialpose,geometry_msgs/msg/PoseWithCovarianceStamped,0
sense4-2,/clicked_point,geometry_msgs/msg/PointStamped,0
sense4-2,/explored_volume,std_msgs/msg/Float32,0
sense4-2,/explored_areas,sensor_msgs/msg/PointCloud2,0
sense4-2,/move_base_simple/goal,geometry_msgs/msg/PoseStamped,0
sense4-2,/robot_1/map,nav_msgs/msg/OccupancyGrid,27
sense4-2,/robot_1/image_raw,sensor_msgs/msg/Image,0
sense4-2,/robot_1/way_point,geometry_msgs/msg/PoseStamped,0
sense4-2,/robot_0/predicted_map,nav_msgs/msg/OccupancyGrid,87
sense4-2,/events/write_split,rosbag2_interfaces/msg/WriteSplitEvent,0
sense4-2,/merged_map,nav_msgs/msg/OccupancyGrid,143
sense4-2,/explored_rgb_areas,sensor_msgs/msg/PointCloud2,0
sense4-2,/robot_1/predicted_map_global,nav_msgs/msg/OccupancyGrid,87
sense4-2,/parameter_events,rcl_interfaces/msg/ParameterEvent,0
sense4-2,/robot_1/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense4-2,/robot_0/image_raw,sensor_msgs/msg/Image,0
sense4-2,/robot_0/map,nav_msgs/msg/OccupancyGrid,27
sense4-2,/rosout,rcl_interfaces/msg/Log,21
sense4-2,/robot_0/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense4-2,/robot_0/predicted_map_global,nav_msgs/msg/OccupancyGrid,87
sense4-2,/robot_0/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense4-2,/traveling_distance,std_msgs/msg/Float32,0
sense4-2,/robot_1/predicted_map,nav_msgs/msg/OccupancyGrid,88
sense4-2,/robot_1/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense5-1,/tf,tf2_msgs/msg/TFMessage,1857
sense5-1,/robot_1/way_point,geometry_msgs/msg/PoseStamped,0
sense5-1,/robot_0/image_raw,sensor_msgs/msg/Image,0
sense5-1,/parameter_events,rcl_interfaces/msg/ParameterEvent,0
sense5-1,/robot_1/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense5-1,/move_base_simple/goal,geometry_msgs/msg/PoseStamped,0
sense5-1,/merged_map,nav_msgs/msg/OccupancyGrid,142
sense5-1,/robot_0/predicted_map,nav_msgs/msg/OccupancyGrid,98
sense5-1,/events/write_split,rosbag2_interfaces/msg/WriteSplitEvent,0
sense5-1,/robot_0/map,nav_msgs/msg/OccupancyGrid,26
sense5-1,/initialpose,geometry_msgs/msg/PoseWithCovarianceStamped,0
sense5-1,/robot_1/predicted_map,nav_msgs/msg/OccupancyGrid,98
sense5-1,/traveling_distance,std_msgs/msg/Float32,0
sense5-1,/robot_1/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense5-1,/robot_1/map,nav_msgs/msg/OccupancyGrid,28
sense5-1,/robot_1/image_raw,sensor_msgs/msg/Image,0
sense5-1,/robot_0/way_point,geometry_msgs/msg/PoseStamped,0
sense5-1,/rosout,rcl_interfaces/msg/Log,13
sense5-1,/robot_0/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense5-1,/clicked_point,geometry_msgs/msg/PointStamped,0
sense5-1,/explored_volume,std_msgs/msg/Float32,0
sense5-1,/robot_1/predicted_map_global,nav_msgs/msg/OccupancyGrid,98
sense5-1,/explored_rgb_areas,sensor_msgs/msg/PointCloud2,0
sense5-1,/robot_0/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense5-1,/robot_0/predicted_map_global,nav_msgs/msg/OccupancyGrid,98
sense5-1,/explored_areas,sensor_msgs/msg/PointCloud2,0
sense5-2,/robot_0/way_point,geometry_msgs/msg/PoseStamped,0
sense5-2,/tf,tf2_msgs/msg/TFMessage,1425
sense5-2,/robot_0/predicted_map_global,nav_msgs/msg/OccupancyGrid,74
sense5-2,/robot_0/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense5-2,/robot_0/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense5-2,/rosout,rcl_interfaces/msg/Log,14
sense5-2,/robot_0/image_raw,sensor_msgs/msg/Image,0
sense5-2,/parameter_events,rcl_interfaces/msg/ParameterEvent,0
sense5-2,/robot_1/realsense_pointcloud,sensor_msgs/msg/PointCloud2,0
sense5-2,/move_base_simple/goal,geometry_msgs/msg/PoseStamped,0
sense5-2,/robot_0/predicted_map,nav_msgs/msg/OccupancyGrid,74
sense5-2,/merged_map,nav_msgs/msg/OccupancyGrid,131
sense5-2,/events/write_split,rosbag2_interfaces/msg/WriteSplitEvent,0
sense5-2,/robot_1/way_point,geometry_msgs/msg/PoseStamped,0
sense5-2,/robot_1/total_registered_scan,sensor_msgs/msg/PointCloud2,0
sense5-2,/robot_1/predicted_map,nav_msgs/msg/OccupancyGrid,75
