event_id,base_frame_cluster,seed,target_step,source_step,arm,observed_gate_accepted,observed_gate_score,observed_gate_threshold,observed_reject_reason,observed_translation_error_m,observed_yaw_error_deg,observed_transform_within_thresholds,measured_atomic_committed,measured_changed_cells,measured_persistent_hash,planner_input_hash,prediction_persisted,source_prediction_included,measured_known_support_cells,planner_known_support_cells,provisional_support_gain_cells,provisional_free_gain_cells,provisional_occupied_gain_cells,reachable_free_cells,reachable_frontiers,route_available,route_length_m,route_oracle_safe,route_oracle_collision_cells,route_oracle_unknown_cells,persistent_hash_after_planning,persistent_state_changed_by_planning
SYN_a3_predicted_raw_P_s37_00340_07,a3_ours_multi_ours_orb|predicted_raw|sync_step_00340,37,340,340,measured_plus_provisional,true,0.8477193292925718,0.2,accepted,0.02592935819723971,0.025630220998465347,true,true,19449,88f43d306a59ad8a923623115044936010dee20760457eb44646d9943e004010,fe9c0d877ce04e5c0ab8b1ac8dfcfa1e5b7b20241f81205fc993f21c5cef7eaa,false,true,225696,247520,21824,4576,17248,180049,771,true,22.6,false,0,1,88f43d306a59ad8a923623115044936010dee20760457eb44646d9943e004010,false
SYN_a3_predicted_raw_P_s37_00160_08,a3_ours_multi_ours_orb|predicted_raw|sync_step_00160,37,160,160,measured_only,true,0.8044476850164054,0.2,accepted,0.032525257770340495,0.0598876026197388,true,true,19103,a1743a4d9724573552cd070fe93f6734218099d8985ef98f60b3babdfe2775f3,a1743a4d9724573552cd070fe93f6734218099d8985ef98f60b3babdfe2775f3,false,true,149934,149934,0,0,0,120590,1110,true,22.650000000000002,false,0,2,a1743a4d9724573552cd070fe93f6734218099d8985ef98f60b3babdfe2775f3,false
SYN_a3_predicted_raw_P_s37_00160_08,a3_ours_multi_ours_orb|predicted_raw|sync_step_00160,37,160,160,measured_plus_provisional,true,0.8044476850164054,0.2,accepted,0.032525257770340495,0.0598876026197388,true,true,19103,a1743a4d9724573552cd070fe93f6734218099d8985ef98f60b3babdfe2775f3,a8d4443cc7f695274e8b4b874dcbe8f1927579d2190b603ed9a2a0ae69267ee2,false,true,149934,177436,27502,15642,11860,131563,2211,true,35.050000000000004,false,28,401,a1743a4d9724573552cd070fe93f6734218099d8985ef98f60b3babdfe2775f3,false
SYN_a3_predicted_raw_P_s37_00200_09,a3_ours_multi_ours_orb|predicted_raw|sync_step_00200,37,200,200,measured_only,true,0.8652775047506717,0.2,accepted,0.02584943798139933,0.09587108845900616,true,true,41441,6ccab5d2bd91a628419761a2c631a0e5bb62a4cce91e5f6b448698ac31eaf48c,6ccab5d2bd91a628419761a2c631a0e5bb62a4cce91e5f6b448698ac31eaf48c,false,true,180559,180559,0,0,0,143525,1050,true,22.6,false,0,2,6ccab5d2bd91a628419761a2c631a0e5bb62a4cce91e5f6b448698ac31eaf48c,false
SYN_a3_predicted_raw_P_s37_00200_09,a3_ours_multi_ours_orb|predicted_raw|sync_step_00200,37,200,200,measured_plus_provisional,true,0.8652775047506717,0.2,accepted,0.02584943798139933,0.09587108845900616,true,true,41441,6ccab5d2bd91a628419761a2c631a0e5bb62a4cce91e5f6b448698ac31eaf48c,29cabc2b388967bdf1f31a6b41415861fb0026529fd066dd234e2cf47bc26ced,false,true,180559,200748,20189,7671,12518,143376,957,true,22.6,false,0,2,6ccab5d2bd91a628419761a2c631a0e5bb62a4cce91e5f6b448698ac31eaf48c,false
SYN_a3_predicted_raw_P_s37_00050_10,a3_ours_multi_ours_orb|predicted_raw|sync_step_00050,37,50,50,measured_only,false,0.6007338225483656,0.2,low_inlier_ratio,0.02371324662893334,0.005386413087222763,true,false,0,244281a00aeaf00bbaea07b7730fd7ab3878d3db056ea8f9fe035339512bb794,244281a00aeaf00bbaea07b7730fd7ab3878d3db056ea8f9fe035339512bb794,false,false,68100,68100,0,0,0,57346,1382,true,14.700000000000001,true,0,0,244281a00aeaf00bbaea07b7730fd7ab3878d3db056ea8f9fe035339512bb794,false
SYN_a3_predicted_raw_P_s37_00050_10,a3_ours_multi_ours_orb|predicted_raw|sync_step_00050,37,50,50,measured_plus_provisional,false,0.6007338225483656,0.2,low_inlier_ratio,0.02371324662893334,0.005386413087222763,true,false,0,244281a00aeaf00bbaea07b7730fd7ab3878d3db056ea8f9fe035339512bb794,037536843f6e30a01de9b2afbac10b3c3abf374f8c1f136e56d13f23503bdeac,false,false,68100,80898,12798,6240,6558,57314,1363,true,14.700000000000001,true,0,0,244281a00aeaf00bbaea07b7730fd7ab3878d3db056ea8f9fe035339512bb794,false
SYN_a3_predicted_raw_P_s53_00310_01,a3_ours_multi_ours_orb|predicted_raw|sync_step_00310,53,310,310,measured_only,true,0.8076437144662034,0.2,accepted,0.039593347073602486,0.017188227143861923,true,true,27674,ebd56ad8bd2bd97ce883e3ee8d7be6e38123c0833cb9de1bfb0473afbae6451d,ebd56ad8bd2bd97ce883e3ee8d7be6e38123c0833cb9de1bfb0473afbae6451d,false,true,230607,230607,0,0,0,183614,632,true,22.6,true,0,0,ebd56ad8bd2bd97ce883e3ee8d7be6e38123c0833cb9de1bfb0473afbae6451d,false
SYN_a3_predicted_raw_P_s53_00310_01,a3_ours_multi_ours_orb|predicted_raw|sync_step_00310,53,310,310,measured_plus_provisional,true,0.8076437144662034,0.2,accepted,0.039593347073602486,0.017188227143861923,true,true,27674,ebd56ad8bd2bd97ce883e3ee8d7be6e38123c0833cb9de1bfb0473afbae6451d,b75c954a16851b675a97857c3cc7d2592cfc9c665ecb9dbca7fe4dba5df80a7b,false,true,230607,251051,20444,3447,16997,183530,576,true,22.6,true,0,0,ebd56ad8bd2bd97ce883e3ee8d7be6e38123c0833cb9de1bfb0473afbae6451d,false
SYN_a3_predicted_raw_P_s53_00140_02,a3_ours_multi_ours_orb|predicted_raw|sync_step_00140,53,140,140,measured_only,true,0.6819139801732885,0.2,accepted,0.0782750172984651,0.036920224860352846,true,true,28261,fecdb5806e7567867c5b9bea79968473d1a9ce03db77c86bbefa1f05ee7aa88b,fecdb5806e7567867c5b9bea79968473d1a9ce03db77c86bbefa1f05ee7aa88b,false,true,147027,147027,0,0,0,118354,1073,true,22.700000000000003,false,0,8,fecdb5806e7567867c5b9bea79968473d1a9ce03db77c86bbefa1f05ee7aa88b,false
SYN_a3_predicted_raw_P_s53_00140_02,a3_ours_multi_ours_orb|predicted_raw|sync_step_00140,53,140,140,measured_plus_provisional,true,0.6819139801732885,0.2,accepted,0.0782750172984651,0.036920224860352846,true,true,28261,fecdb5806e7567867c5b9bea79968473d1a9ce03db77c86bbefa1f05ee7aa88b,a5e235827e1a60ee6a60774f773b2258cfe400534da2c460a3a02c53d6f8af9f,false,true,147027,165918,18891,7274,11617,118200,967,true,22.700000000000003,false,0,8,fecdb5806e7567867c5b9bea79968473d1a9ce03db77c86bbefa1f05ee7aa88b,false
SYN_a3_predicted_raw_P_s53_00240_03,a3_ours_multi_ours_orb|predicted_raw|sync_step_00240,53,240,240,measured_only,true,0.7576424938388129,0.2,accepted,0.0436841425409579,0.001361932142998512,true,true,28985,1648ea9783e0699076395e8c7f45e8439896b422ee618115e6b4a7d9fdab2572,1648ea9783e0699076395e8c7f45e8439896b422ee618115e6b4a7d9fdab2572,false,true,207511,207511,0,0,0,164837,1059,true,24.25,false,45,31,1648ea9783e0699076395e8c7f45e8439896b422ee618115e6b4a7d9fdab2572,false
SYN_a3_predicted_raw_P_s53_00240_03,a3_ours_multi_ours_orb|predicted_raw|sync_step_00240,53,240,240,measured_plus_provisional,true,0.7576424938388129,0.2,accepted,0.0436841425409579,0.001361932142998512,true,true,28985,1648ea9783e0699076395e8c7f45e8439896b422ee618115e6b4a7d9fdab2572,8dcfbdac8b2b71fac37cd424cee08777d643b829fbccaf093a882b453891bbf3,false,true,207511,228498,20987,5105,15882,164718,981,true,24.25,false,45,31,1648ea9783e0699076395e8c7f45e8439896b422ee618115e6b4a7d9fdab2572,false
SYN_a3_predicted_raw_P_s53_00390_04,a3_ours_multi_ours_orb|predicted_raw|sync_step_00390,53,390,390,measured_only,true,0.896639819866632,0.2,accepted,0.0190650745674427,0.017080680712183494,true,true,20404,ee49c3888e1106eb555c163e4d1085a33ca015cf6d3217002c806795c04fe24b,ee49c3888e1106eb555c163e4d1085a33ca015cf6d3217002c806795c04fe24b,false,true,231333,231333,0,0,0,184292,563,true,22.6,true,0,0,ee49c3888e1106eb555c163e4d1085a33ca015cf6d3217002c806795c04fe24b,false
SYN_a3_predicted_raw_P_s53_00390_04,a3_ours_multi_ours_orb|predicted_raw|sync_step_00390,53,390,390,measured_plus_provisional,true,0.896639819866632,0.2,accepted,0.0190650745674427,0.017080680712183494,true,true,20404,ee49c3888e1106eb555c163e4d1085a33ca015cf6d3217002c806795c04fe24b,73561f1ab6aaef3b697f6f459233592a2e5c71a217a8c1354f1abd792bdb26a9,false,true,231333,252109,20776,3511,17265,184206,509,true,22.6,true,0,0,ee49c3888e1106eb555c163e4d1085a33ca015cf6d3217002c806795c04fe24b,false
SYN_a3_predicted_raw_P_s53_00290_05,a3_ours_multi_ours_orb|predicted_raw|sync_step_00290,53,290,290,measured_only,true,0.8236299697176908,0.2,accepted,0.04490919673004479,0.016936104035750077,true,true,9712,0bdd15e7988c61e75fb74aebcb76d9ee3c523274cb811ee63567d0e65c918ecc,0bdd15e7988c61e75fb74aebcb76d9ee3c523274cb811ee63567d0e65c918ecc,false,true,212437,212437,0,0,0,169634,1025,true,22.6,true,0,0,0bdd15e7988c61e75fb74aebcb76d9ee3c523274cb811ee63567d0e65c918ecc,false
SYN_a3_predicted_raw_P_s53_00290_05,a3_ours_multi_ours_orb|predicted_raw|sync_step_00290,53,290,290,measured_plus_provisional,true,0.8236299697176908,0.2,accepted,0.04490919673004479,0.016936104035750077,true,true,9712,0bdd15e7988c61e75fb74aebcb76d9ee3c523274cb811ee63567d0e65c918ecc,cbe9108e3987833dc5729d324b9d943685da042d30ba7269421adbb2681fd7d5,false,true,212437,234291,21854,4621,17233,169525,953,true,22.6,true,0,0,0bdd15e7988c61e75fb74aebcb76d9ee3c523274cb811ee63567d0e65c918ecc,false
SYN_a3_predicted_raw_P_s53_00080_06,a3_ours_multi_ours_orb|predicted_raw|sync_step_00080,53,80,80,measured_only,true,0.6518403069176357,0.2,accepted,0.04631601302840618,0.07038698229584384,true,true,43578,ef6ccae67d668cf475d8335263dc3b066103c6b192261b8e81fc505bc2133e58,ef6ccae67d668cf475d8335263dc3b066103c6b192261b8e81fc505bc2133e58,false,true,132752,132752,0,0,0,108256,1431,true,22.5,false,0,1,ef6ccae67d668cf475d8335263dc3b066103c6b192261b8e81fc505bc2133e58,false
SYN_a3_predicted_raw_P_s53_00080_06,a3_ours_multi_ours_orb|predicted_raw|sync_step_00080,53,80,80,measured_plus_provisional,true,0.6518403069176357,0.2,accepted,0.04631601302840618,0.07038698229584384,true,true,43578,ef6ccae67d668cf475d8335263dc3b066103c6b192261b8e81fc505bc2133e58,111fd5ca77aaac113c2faa9f42ee32ab1adc4bee5ef9107815cc799ef78679ca,false,true,132752,162024,29272,17476,11796,108087,1315,true,22.5,false,0,1,ef6ccae67d668cf475d8335263dc3b066103c6b192261b8e81fc505bc2133e58,false
SYN_a3_predicted_raw_P_s53_00130_07,a3_ours_multi_ours_orb|predicted_raw|sync_step_00130,53,130,130,measured_only,true,0.834673327609086,0.2,accepted,0.020613109369422185,0.10951010252853166,true,true,26715,49fd3094581f8edc49aeffbdf267b81ee9c92a878b694c29151d54da162b0677,49fd3094581f8edc49aeffbdf267b81ee9c92a878b694c29151d54da162b0677,false,true,145481,145481,0,0,0,118237,1138,true,22.650000000000002,false,0,3,49fd3094581f8edc49aeffbdf267b81ee9c92a878b694c29151d54da162b0677,false
SYN_a3_predicted_raw_P_s53_00130_07,a3_ours_multi_ours_orb|predicted_raw|sync_step_00130,53,130,130,measured_plus_provisional,true,0.834673327609086,0.2,accepted,0.020613109369422185,0.10951010252853166,true,true,26715,49fd3094581f8edc49aeffbdf267b81ee9c92a878b694c29151d54da162b0677,0f3524390c1f0fa46cb403116669c18bb1f3a73041f861a9ac6a2db0c2345f6c,false,true,145481,164489,19008,7080,11928,118114,1052,true,22.650000000000002,false,0,3,49fd3094581f8edc49aeffbdf267b81ee9c92a878b694c29151d54da162b0677,false
SYN_a3_predicted_raw_P_s53_00040_08,a3_ours_multi_ours_orb|predicted_raw|sync_step_00040,53,40,40,measured_only,false,0.0,0.2,non_unit_se2_candidate,,,,false,0,f586da8d20f8a4f42eacde27ebef0b9279038477a8ae1cecffebfcd15f71a19e,f586da8d20f8a4f42eacde27ebef0b9279038477a8ae1cecffebfcd15f71a19e,false,false,59598,59598,0,0,0,51500,1632,true,13.950000000000001,true,0,0,f586da8d20f8a4f42eacde27ebef0b9279038477a8ae1cecffebfcd15f71a19e,false
SYN_a3_predicted_raw_P_s53_00040_08,a3_ours_multi_ours_orb|predicted_raw|sync_step_00040,53,40,40,measured_plus_provisional,false,0.0,0.2,non_unit_se2_candidate,,,,false,0,f586da8d20f8a4f42eacde27ebef0b9279038477a8ae1cecffebfcd15f71a19e,367ff96a206923d9e779520574d985ff2ec5120440d859cd4416b6248b20ce88,false,false,59598,70871,11273,7094,4179,51473,1616,true,13.950000000000001,true,0,0,f586da8d20f8a4f42eacde27ebef0b9279038477a8ae1cecffebfcd15f71a19e,false
SYN_a3_predicted_raw_P_s53_00090_09,a3_ours_multi_ours_orb|predicted_raw|sync_step_00090,53,90,90,measured_only,true,0.819324047920522,0.2,accepted,0.0239613415424751,0.03575108591471121,true,true,40849,3ec96336c5bb150db8677e757300d6a6e7990794085490d411cb53533dc151a0,3ec96336c5bb150db8677e757300d6a6e7990794085490d411cb53533dc151a0,false,true,143431,143431,0,0,0,117077,1347,true,22.6,true,0,0,3ec96336c5bb150db8677e757300d6a6e7990794085490d411cb53533dc151a0,false
SYN_a3_predicted_raw_P_s53_00090_09,a3_ours_multi_ours_orb|predicted_raw|sync_step_00090,53,90,90,measured_plus_provisional,true,0.819324047920522,0.2,accepted,0.0239613415424751,0.03575108591471121,true,true,40849,3ec96336c5bb150db8677e757300d6a6e7990794085490d411cb53533dc151a0,941d1f4b69444c83531b790c91ed2f3d38f03e871ea0d69a834b241d22c02b0d,false,true,143431,160623,17192,6080,11112,116899,1227,true,22.6,true,0,0,3ec96336c5bb150db8677e757300d6a6e7990794085490d411cb53533dc151a0,false
